,date,rainfall,cyc1,cyc2,cyc3,cyc4,lag_1,lag_2,lag_3,lag_4,weekly_ema,monthly_ema,rainfall_binary,total_orders
1645,2012-07-29,4.0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,209.0,269.0,149.0,148.0,218.7398169100541,206.43113606136072,1,291.0
1646,2012-07-30,100.33333333333331,0.0,1.0,-0.4999999999999997,-0.8660254037844388,291.0,209.0,269.0,149.0,231.80486268254057,210.5968692186923,1,271.0
1647,2012-07-31,19.666666666666668,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,271.0,291.0,209.0,269.0,234.85364701190545,212.75190991426052,1,244.0
1648,2012-08-01,6.0,0.9749279121818236,-0.2225209339563143,-0.8660254037844385,-0.5000000000000004,244.0,271.0,291.0,209.0,228.39023525892907,212.50985121011476,1,209.0
1649,2012-08-02,105.0,0.4338837391175582,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,209.0,244.0,271.0,291.0,214.2926764441968,209.8963124223654,1,172.0
1650,2012-08-03,18.33333333333333,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,172.0,209.0,244.0,271.0,206.9695073331476,208.29009871769668,1,185.0
1651,2012-08-04,15.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,185.0,172.0,209.0,244.0,205.7271304998607,207.88428589720013,1,202.0
1652,2012-08-05,13.666666666666666,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,202.0,185.0,172.0,209.0,230.29534787489555,214.085299710284,1,304.0
1653,2012-08-06,107.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,304.0,202.0,185.0,172.0,215.4715109061717,211.30560295478185,1,171.0
1654,2012-08-07,79.0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,171.0,304.0,202.0,185.0,220.85363317962876,212.9633059899572,1,237.0
1655,2012-08-08,38.333333333333336,0.9749279121818236,-0.2225209339563143,-0.8660254037844385,-0.5000000000000004,237.0,171.0,304.0,202.0,199.89022488472156,208.06244753899225,1,137.0
1656,2012-08-09,14.666666666666666,0.4338837391175582,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,137.0,237.0,171.0,304.0,188.66766866354115,204.6390638267992,1,155.0
1657,2012-08-10,0.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,155.0,137.0,237.0,171.0,191.50075149765587,204.33976938636053,0,200.0
1658,2012-08-11,0.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,200.0,155.0,137.0,237.0,183.8755636232419,201.5436552324018,0,161.0
1659,2012-08-12,0.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,161.0,200.0,155.0,137.0,181.15667271743143,199.70212908837587,0,173.0
1660,2012-08-13,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,173.0,161.0,200.0,155.0,194.1175045380736,201.8503788246097,0,233.0
1661,2012-08-14,6.0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,233.0,173.0,161.0,200.0,186.3381284035552,199.3439027714091,1,163.0
1662,2012-08-15,0.0,0.9749279121818236,-0.2225209339563143,-0.8660254037844385,-0.5000000000000004,163.0,233.0,173.0,161.0,169.75359630266638,194.22494130228597,0,120.0
1663,2012-08-16,0.3333333333333333,0.4338837391175582,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,120.0,163.0,233.0,173.0,184.81519722699977,196.53300960536427,1,230.0
1664,2012-08-17,0.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,230.0,120.0,163.0,233.0,197.36139792024983,199.01475092114725,0,235.0
1665,2012-08-18,0.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,235.0,230.0,120.0,163.0,180.77104844018737,194.6267024746216,0,131.0
1666,2012-08-19,0.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,131.0,235.0,230.0,120.0,186.07828633014051,195.10239908916213,0,202.0
1667,2012-08-20,3.6666666666666665,0.0,1.0,-0.8660254037844385,-0.5000000000000004,202.0,131.0,235.0,230.0,205.0587147476054,199.41837334147428,1,262.0
1668,2012-08-21,0.0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,262.0,202.0,131.0,235.0,219.5440360607041,203.52041377105655,0,263.0
1669,2012-08-22,0.0,0.9749279121818236,-0.2225209339563143,-0.8660254037844385,-0.5000000000000004,263.0,262.0,202.0,131.0,213.4080270455281,202.9707096567949,0,195.0
1670,2012-08-23,0.0,0.4338837391175582,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,195.0,263.0,262.0,202.0,196.30602028414603,199.23066387248556,0,145.0
1671,2012-08-24,0.3333333333333333,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,145.0,195.0,263.0,262.0,178.97951521310952,194.5706210420026,1,127.0
1672,2012-08-25,39.333333333333336,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,127.0,145.0,195.0,263.0,207.98463640983212,201.04993581348631,1,295.0
1673,2012-08-26,249.3333333333333,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,295.0,127.0,145.0,195.0,249.23847730737413,212.1434883416485,1,373.0
1674,2012-08-27,22.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,373.0,295.0,127.0,145.0,228.6788579805306,209.2310052228325,1,167.0
1675,2012-08-28,25.666666666666668,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,167.0,373.0,295.0,127.0,207.00914348539797,204.8935210149078,1,142.0
1676,2012-08-29,0.6666666666666666,0.9749279121818236,-0.2225209339563143,-0.8660254037844385,-0.5000000000000004,142.0,167.0,373.0,295.0,186.50685761404844,199.7391003042686,1,125.0
1677,2012-08-30,29.0,0.4338837391175582,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,125.0,142.0,167.0,373.0,214.63014321053635,206.1430293168964,1,299.0
1678,2012-08-31,240.66666666666663,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,299.0,125.0,142.0,167.0,208.47260740790227,205.101543554516,1,190.0
1679,2012-09-01,13.0,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210294e-16,190.0,299.0,125.0,142.0,218.6044555559267,207.93370203486984,1,249.0
1680,2012-09-02,0.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210294e-16,249.0,190.0,299.0,125.0,222.45334166694505,209.61539867778149,0,234.0
1681,2012-09-03,0.0,0.0,1.0,-1.0,-1.8369701987210294e-16,234.0,249.0,190.0,299.0,224.8400062502088,211.0595665050214,0,232.0
1682,2012-09-04,0.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210294e-16,232.0,234.0,249.0,190.0,222.6300046876566,211.37830414985876,0,216.0
